พลเรือ	NN	B_DES	B_CLS
เอก	NN	I_DES	I_CLS
_	PU	I_DES	I_CLS
พระเจ้าบรมวงศ์เธอ	NN	I_DES	I_CLS
_	PU	O	I_CLS
พระองค์เจ้าอาภากร	NN	B_PER	I_CLS
เกียรติวงศ์	NN	I_PER	I_CLS
_	PU	I_PER	I_CLS
กรมหลวงชุมพร	NN	I_PER	I_CLS
เขตอุดมศักดิ์	NN	E_PER	I_CLS
_	PU	O	I_CLS
ประสูติ	VV	O	I_CLS
เมื่อ	PS	O	I_CLS
วัน	NN	O	I_CLS
ที่	PS	O	I_CLS
_	PU	O	I_CLS
19	NU	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
ธันวาคม	NN	I_DTM	I_CLS
_	PU	I_DTM	I_CLS
2423	NU	E_DTM	I_CLS
_	PU	O	I_CLS
ทรง	VV	O	I_CLS
เป็น	VV	O	I_CLS
พระเจ้าลูกยาเธอ	NN	B_ROLE	I_CLS
_	PU	O	I_CLS
ใน	PS	O	I_CLS
พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว	NN	B_PER	I_CLS
_	PU	O	I_CLS
และ	CC	O	I_CLS
_	PU	O	I_CLS
เจ้าจอม	NN	O	I_CLS
มารดา	NN	O	I_CLS
โหมด	NN	O	I_CLS
_	PU	O	I_CLS
ใน	PS	O	I_CLS
ปี	NN	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
2439	NU	E_DTM	I_CLS
_	PU	O	I_CLS
เสด็จ	VV	O	I_CLS
ไป	AV	O	I_CLS
ศึกษา	VV	O	I_CLS
วิชาการ	NN	O	I_CLS
ทหาร	NN	O	I_CLS
เรือ	NN	O	I_CLS
_	PU	O	I_CLS
ณ	PS	O	I_CLS
_	PU	O	I_CLS
ประเทศอังกฤษ	NN	B_COU	I_CLS
_	PU	O	I_CLS
ตลอด	PS	O	I_CLS
ระยะ	NN	O	I_CLS
เวลา	NN	O	I_CLS
ที่	CC	O	I_CLS
พระองค์	PR	O	I_CLS
ทรง	VV	O	I_CLS
ศึกษา	VV	O	I_CLS
อยู่	AX	O	I_CLS
นั้น	AJ	O	I_CLS
_	PU	O	I_CLS
ทรง	VV	O	I_CLS
มี	VV	O	I_CLS
พระวิริยะอุตสาหะ	NN	O	I_CLS
จน	CC	O	I_CLS
ผล	NN	O	I_CLS
การ	FX	O	I_CLS
_	PU	O	I_CLS
ศึกษา	VV	O	I_CLS
ปรากฏ	VV	O	I_CLS
อยู่	VV	O	I_CLS
ใน	PS	O	I_CLS
ขั้น	NN	O	I_CLS
ดีเยี่ยม	VV	O	I_CLS
และ	CC	O	I_CLS
มี	VV	O	I_CLS
พระจริยวัตร	NN	O	I_CLS
ที่	CC	O	I_CLS
งดงาม	VV	O	I_CLS
เป็น	VV	O	I_CLS
ที่	CC	O	I_CLS
รักใคร่	VV	O	I_CLS
ของ	PS	O	I_CLS
ครู	NN	O	I_CLS
_	PU	O	I_CLS
อาจารย์	NN	O	I_CLS
_	PU	O	I_CLS
เป็น	VV	O	I_CLS
ที่	CC	O	I_CLS
ยอม	VV	O	I_CLS
รับ	VV	O	I_CLS
นับถือ	VV	O	I_CLS
ของ	PS	O	I_CLS
ชาว	FX	B_NAT	I_CLS
อังกฤษ	NN	E_NAT	I_CLS
ที่	CC	O	I_CLS
ได้	AX	O	I_CLS
ศึกษา	VV	O	I_CLS
อยู่	VV	O	I_CLS
ใน	PS	O	I_CLS
คราว	NN	O	I_CLS
เดียว	NU	O	I_CLS
กัน	PR	O	E_CLS
 
เมื่อ	CC	O	B_CLS
ทรง	VV	O	I_CLS
สำเร็จ	VV	O	I_CLS
การ	FX	O	I_CLS
ศึกษา	VV	O	I_CLS
เป็น	VV	O	I_CLS
นาย	NN	O	I_CLS
ทหาร	NN	O	I_CLS
สัญญาบัตร	NN	O	I_CLS
ใน	PS	O	I_CLS
ราชนาวี	NN	B_STY	I_CLS
อังกฤษ	NN	E_STY	I_CLS
แล้ว	AX	O	I_CLS
_	PU	O	I_CLS
ได้	AX	O	I_CLS
เสด็จ	VV	O	I_CLS
กลับ	VV	O	I_CLS
เข้า	AV	O	I_CLS
รับ	VV	O	I_CLS
ราชการ	NN	O	I_CLS
ใน	PS	O	I_CLS
