epoch,grad_norm,learning_rate,loss,step,eval_accuracy,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0.00684931506849315,7.842032432556152,9.132420091324201e-08,6.7841,2,,,,,
0.0136986301369863,7.818798542022705,1.8264840182648401e-07,6.7848,4,,,,,
0.02054794520547945,6.99062442779541,2.73972602739726e-07,6.8561,6,,,,,
0.0273972602739726,9.602455139160156,3.6529680365296803e-07,6.8154,8,,,,,
0.03424657534246575,9.831819534301758,4.5662100456621004e-07,6.8041,10,,,,,
0.0410958904109589,8.738856315612793,5.47945205479452e-07,6.7621,12,,,,,
0.04794520547945205,6.832639694213867,6.39269406392694e-07,6.786,14,,,,,
0.0547945205479452,8.3690185546875,7.305936073059361e-07,6.7621,16,,,,,
0.06164383561643835,9.228846549987793,8.219178082191781e-07,6.7678,18,,,,,
0.0684931506849315,8.795578002929688,9.132420091324201e-07,6.6997,20,,,,,
0.07534246575342465,7.9116950035095215,1.0045662100456622e-06,6.7027,22,,,,,
0.0821917808219178,8.264760971069336,1.095890410958904e-06,6.7187,24,,,,,
0.08904109589041095,14.259969711303711,1.1872146118721462e-06,6.666,26,,,,,
0.0958904109589041,7.713372230529785,1.278538812785388e-06,6.7318,28,,,,,
0.10273972602739725,8.297369003295898,1.3698630136986302e-06,6.6767,30,,,,,
0.1095890410958904,8.389969825744629,1.4611872146118721e-06,6.5837,32,,,,,
0.11643835616438356,8.207820892333984,1.5525114155251142e-06,6.5947,34,,,,,
0.1232876712328767,8.439937591552734,1.6438356164383561e-06,6.5657,36,,,,,
0.13013698630136986,8.240182876586914,1.7351598173515982e-06,6.5292,38,,,,,
0.136986301369863,32.548099517822266,1.7808219178082193e-06,6.5163,40,,,,,
0.14383561643835616,7.902454376220703,1.8721461187214612e-06,6.5143,42,,,,,
0.1506849315068493,8.058249473571777,1.9178082191780823e-06,6.4983,44,,,,,
0.15753424657534246,7.889214992523193,2.0091324200913244e-06,6.4389,46,,,,,
0.1643835616438356,8.013093948364258,2.100456621004566e-06,6.4198,48,,,,,
